Layer,Step,Model,Pair,t-similarity
0,0,Whisper_encoder,dash-tash,0.0070878267
0,1,Whisper_encoder,dash-tash,0.023883045
0,2,Whisper_encoder,dash-tash,0.058525622
0,3,Whisper_encoder,dash-tash,0.07325709
0,4,Whisper_encoder,dash-tash,0.39161932
0,5,Whisper_encoder,dash-tash,0.42504245
0,6,Whisper_encoder,dash-tash,0.74122477
0,7,Whisper_encoder,dash-tash,0.75651526
0,8,Whisper_encoder,dash-tash,0.9446481
0,9,Whisper_encoder,dash-tash,0.9473708
0,10,Whisper_encoder,dash-tash,0.9947963
0,0,Whisper_encoder,task-dask,0.007458508
0,1,Whisper_encoder,task-dask,0.036088347
0,2,Whisper_encoder,task-dask,0.07659507
0,3,Whisper_encoder,task-dask,0.09552151
0,4,Whisper_encoder,task-dask,0.4145888
0,5,Whisper_encoder,task-dask,0.44573724
0,6,Whisper_encoder,task-dask,0.75223434
0,7,Whisper_encoder,task-dask,0.76826197
0,8,Whisper_encoder,task-dask,0.9433924
0,9,Whisper_encoder,task-dask,0.94634575
0,10,Whisper_encoder,task-dask,0.9948857
1,0,Whisper_encoder,dash-tash,0.013121307
1,1,Whisper_encoder,dash-tash,0.04000902
1,2,Whisper_encoder,dash-tash,0.11223841
1,3,Whisper_encoder,dash-tash,0.1387077
1,4,Whisper_encoder,dash-tash,0.39395523
1,5,Whisper_encoder,dash-tash,0.4363401
1,6,Whisper_encoder,dash-tash,0.7149571
1,7,Whisper_encoder,dash-tash,0.7356092
1,8,Whisper_encoder,dash-tash,0.9265947
1,9,Whisper_encoder,dash-tash,0.9295776
1,10,Whisper_encoder,dash-tash,0.9855327
1,0,Whisper_encoder,task-dask,0.013750255
1,1,Whisper_encoder,task-dask,0.04437816
1,2,Whisper_encoder,task-dask,0.12008768
1,3,Whisper_encoder,task-dask,0.15601742
1,4,Whisper_encoder,task-dask,0.40794116
1,5,Whisper_encoder,task-dask,0.44665313
1,6,Whisper_encoder,task-dask,0.73031116
1,7,Whisper_encoder,task-dask,0.75209
1,8,Whisper_encoder,task-dask,0.9319972
1,9,Whisper_encoder,task-dask,0.93624836
1,10,Whisper_encoder,task-dask,0.98564607
2,0,Whisper_encoder,dash-tash,0.017828643
2,1,Whisper_encoder,dash-tash,0.04843068
2,2,Whisper_encoder,dash-tash,0.12133467
2,3,Whisper_encoder,dash-tash,0.14433903
2,4,Whisper_encoder,dash-tash,0.4094159
2,5,Whisper_encoder,dash-tash,0.44749397
2,6,Whisper_encoder,dash-tash,0.71152776
2,7,Whisper_encoder,dash-tash,0.7216821
2,8,Whisper_encoder,dash-tash,0.9263679
2,9,Whisper_encoder,dash-tash,0.92706996
2,10,Whisper_encoder,dash-tash,0.9863844
2,0,Whisper_encoder,task-dask,0.018408298
2,1,Whisper_encoder,task-dask,0.050098002
