Layer,Step,Model,Pair,t-similarity
0,0,wav2vec2_finetuned,dash-tash,0.060094595
0,1,wav2vec2_finetuned,dash-tash,0.14996737
0,2,wav2vec2_finetuned,dash-tash,0.36987865
0,3,wav2vec2_finetuned,dash-tash,0.40894353
0,4,wav2vec2_finetuned,dash-tash,0.554942
0,5,wav2vec2_finetuned,dash-tash,0.5888777
0,6,wav2vec2_finetuned,dash-tash,0.73847675
0,7,wav2vec2_finetuned,dash-tash,0.78610593
0,8,wav2vec2_finetuned,dash-tash,0.8960273
0,9,wav2vec2_finetuned,dash-tash,0.9082902
0,10,wav2vec2_finetuned,dash-tash,0.95778286
0,0,wav2vec2_finetuned,task-dask,0.06438148
0,1,wav2vec2_finetuned,task-dask,0.15133327
0,2,wav2vec2_finetuned,task-dask,0.3455429
0,3,wav2vec2_finetuned,task-dask,0.3789165
0,4,wav2vec2_finetuned,task-dask,0.5182433
0,5,wav2vec2_finetuned,task-dask,0.55301857
0,6,wav2vec2_finetuned,task-dask,0.75041497
0,7,wav2vec2_finetuned,task-dask,0.7804555
0,8,wav2vec2_finetuned,task-dask,0.88937414
0,9,wav2vec2_finetuned,task-dask,0.90187997
0,10,wav2vec2_finetuned,task-dask,0.95515144
1,0,wav2vec2_finetuned,dash-tash,0.09708232
1,1,wav2vec2_finetuned,dash-tash,0.18003619
1,2,wav2vec2_finetuned,dash-tash,0.3934254
1,3,wav2vec2_finetuned,dash-tash,0.4335838
1,4,wav2vec2_finetuned,dash-tash,0.5543318
1,5,wav2vec2_finetuned,dash-tash,0.5912931
1,6,wav2vec2_finetuned,dash-tash,0.7269002
1,7,wav2vec2_finetuned,dash-tash,0.77678907
1,8,wav2vec2_finetuned,dash-tash,0.86900336
1,9,wav2vec2_finetuned,dash-tash,0.8940469
1,10,wav2vec2_finetuned,dash-tash,0.9469456
1,0,wav2vec2_finetuned,task-dask,0.090256035
1,1,wav2vec2_finetuned,task-dask,0.20637757
1,2,wav2vec2_finetuned,task-dask,0.39551264
1,3,wav2vec2_finetuned,task-dask,0.42393547
1,4,wav2vec2_finetuned,task-dask,0.5307148
1,5,wav2vec2_finetuned,task-dask,0.5510678
1,6,wav2vec2_finetuned,task-dask,0.7331134
1,7,wav2vec2_finetuned,task-dask,0.7834514
1,8,wav2vec2_finetuned,task-dask,0.8602558
1,9,wav2vec2_finetuned,task-dask,0.8942795
1,10,wav2vec2_finetuned,task-dask,0.9460728
2,0,wav2vec2_finetuned,dash-tash,0.11176044
2,1,wav2vec2_finetuned,dash-tash,0.22260416
2,2,wav2vec2_finetuned,dash-tash,0.3907733
2,3,wav2vec2_finetuned,dash-tash,0.43282777
2,4,wav2vec2_finetuned,dash-tash,0.525158
2,5,wav2vec2_finetuned,dash-tash,0.5711033
2,6,wav2vec2_finetuned,dash-tash,0.6888796
2,7,wav2vec2_finetuned,dash-tash,0.7419704
2,8,wav2vec2_finetuned,dash-tash,0.83646214
2,9,wav2vec2_finetuned,dash-tash,0.87753564
2,10,wav2vec2_finetuned,dash-tash,0.93514603
2,0,wav2vec2_finetuned,task-dask,0.12279385
2,1,wav2vec2_finetuned,task-dask,0.17790943
2,2,wav2vec2_finetuned,task-dask,0.38540077
2,3,wav2vec2_finetuned,task-dask,0.41251308
2,4,wav2vec2_finetuned,task-dask,0.49370956
2,5,wav2vec2_finetuned,task-dask,0.5126579
2,6,wav2vec2_finetuned,task-dask,0.68875694
2,7,wav2vec2_finetuned,task-dask,0.73638827
2,8,wav2vec2_finetuned,task-dask,0.8312633
2,9,wav2vec2_finetuned,task-dask,0.8650767
2,10,wav2vec2_finetuned,task-dask,0.9282987
