Layer,Step,Model,Pair,t-similarity
0,0,wav2vec2_pretrained,dash-tash,0.0608539
0,1,wav2vec2_pretrained,dash-tash,0.15772414
0,2,wav2vec2_pretrained,dash-tash,0.38399422
0,3,wav2vec2_pretrained,dash-tash,0.4277287
0,4,wav2vec2_pretrained,dash-tash,0.569596
0,5,wav2vec2_pretrained,dash-tash,0.60825676
0,6,wav2vec2_pretrained,dash-tash,0.74922574
0,7,wav2vec2_pretrained,dash-tash,0.79665065
0,8,wav2vec2_pretrained,dash-tash,0.8997421
0,9,wav2vec2_pretrained,dash-tash,0.9122338
0,10,wav2vec2_pretrained,dash-tash,0.9577669
0,0,wav2vec2_pretrained,task-dask,0.067537904
0,1,wav2vec2_pretrained,task-dask,0.15200472
0,2,wav2vec2_pretrained,task-dask,0.36327267
0,3,wav2vec2_pretrained,task-dask,0.39777762
0,4,wav2vec2_pretrained,task-dask,0.53691715
0,5,wav2vec2_pretrained,task-dask,0.5755819
0,6,wav2vec2_pretrained,task-dask,0.7595233
0,7,wav2vec2_pretrained,task-dask,0.78971493
0,8,wav2vec2_pretrained,task-dask,0.890774
0,9,wav2vec2_pretrained,task-dask,0.90457755
0,10,wav2vec2_pretrained,task-dask,0.9548505
1,0,wav2vec2_pretrained,dash-tash,0.06639463
1,1,wav2vec2_pretrained,dash-tash,0.15018171
1,2,wav2vec2_pretrained,dash-tash,0.3941962
1,3,wav2vec2_pretrained,dash-tash,0.4377448
1,4,wav2vec2_pretrained,dash-tash,0.58198416
1,5,wav2vec2_pretrained,dash-tash,0.6141665
1,6,wav2vec2_pretrained,dash-tash,0.7414099
1,7,wav2vec2_pretrained,dash-tash,0.77920264
1,8,wav2vec2_pretrained,dash-tash,0.88604534
1,9,wav2vec2_pretrained,dash-tash,0.90328157
1,10,wav2vec2_pretrained,dash-tash,0.94942075
1,0,wav2vec2_pretrained,task-dask,0.06743175
1,1,wav2vec2_pretrained,task-dask,0.15677053
1,2,wav2vec2_pretrained,task-dask,0.37824553
1,3,wav2vec2_pretrained,task-dask,0.4159935
1,4,wav2vec2_pretrained,task-dask,0.5552174
1,5,wav2vec2_pretrained,task-dask,0.5795136
1,6,wav2vec2_pretrained,task-dask,0.7399261
1,7,wav2vec2_pretrained,task-dask,0.78501654
1,8,wav2vec2_pretrained,task-dask,0.88067585
1,9,wav2vec2_pretrained,task-dask,0.90159863
1,10,wav2vec2_pretrained,task-dask,0.9467265
2,0,wav2vec2_pretrained,dash-tash,0.06581652
2,1,wav2vec2_pretrained,dash-tash,0.16086936
2,2,wav2vec2_pretrained,dash-tash,0.39577663
2,3,wav2vec2_pretrained,dash-tash,0.44261944
2,4,wav2vec2_pretrained,dash-tash,0.5360344
2,5,wav2vec2_pretrained,dash-tash,0.5807652
2,6,wav2vec2_pretrained,dash-tash,0.7267878
2,7,wav2vec2_pretrained,dash-tash,0.76124316
2,8,wav2vec2_pretrained,dash-tash,0.8711631
2,9,wav2vec2_pretrained,dash-tash,0.89408
2,10,wav2vec2_pretrained,dash-tash,0.9459932
2,0,wav2vec2_pretrained,task-dask,0.06497854
2,1,wav2vec2_pretrained,task-dask,0.14716393
2,2,wav2vec2_pretrained,task-dask,0.3825583
2,3,wav2vec2_pretrained,task-dask,0.41811156
2,4,wav2vec2_pretrained,task-dask,0.535751
2,5,wav2vec2_pretrained,task-dask,0.5617094
2,6,wav2vec2_pretrained,task-dask,0.7252555
2,7,wav2vec2_pretrained,task-dask,0.77489316
2,8,wav2vec2_pretrained,task-dask,0.8737571
2,9,wav2vec2_pretrained,task-dask,0.8949559
2,10,wav2vec2_pretrained,task-dask,0.94347274
3,0,wav2vec2_pretrained,dash-tash,0.047988474
3,1,wav2vec2_pretrained,dash-tash,0.14332479
3,2,wav2vec2_pretrained,dash-tash,0.38097316
3,3,wav2vec2_pretrained,dash-tash,0.44089139
3,4,wav2vec2_pretrained,dash-tash,0.52969927
3,5,wav2vec2_pretrained,dash-tash,0.582652
3,6,wav2vec2_pretrained,dash-tash,0.74871254
3,7,wav2vec2_pretrained,dash-tash,0.77503103
3,8,wav2vec2_pretrained,dash-tash,0.87756515
3,9,wav2vec2_pretrained,dash-tash,0.9000043
3,10,wav2vec2_pretrained,dash-tash,0.94551
3,0,wav2vec2_pretrained,task-dask,0.046429932
3,1,wav2vec2_pretrained,task-dask,0.10731655
3,2,wav2vec2_pretrained,task-dask,0.35883683
3,3,wav2vec2_pretrained,task-dask,0.3965842
3,4,wav2vec2_pretrained,task-dask,0.5637051
3,5,wav2vec2_pretrained,task-dask,0.58758205
3,6,wav2vec2_pretrained,task-dask,0.75822103
3,7,wav2vec2_pretrained,task-dask,0.7936563
3,8,wav2vec2_pretrained,task-dask,0.8806223
